Location,County,ICAO,IATA,Airport name,Usage,Rwy (ft),Surface
"Brackley","Northamptonshire",,,"Hinton-in-the-Hedges Airfield","Private",,"Tarmac"
"Brackley","Northamptonshire","EGBT",,"Turweston Aerodrome","Public","3002","Asphalt"
"Bruntingthorpe","Leicestershire","EG74","LHB","Bruntingthorpe Aerodrome","Private","9842","Asphalt"
"Castle Donington","Leicestershire","EGNX","EMA","East Midlands Airport","Public","9491","Asphalt"
"Coningsby","Lincolnshire","EGXC","QCY","RAF Coningsby","Military","9003","Concrete"
"Cranwell","Lincolnshire","EGYD",,"RAF Cranwell","Military","6831","Asphalt"
"Derby","Derbyshire","EGBD",,"Derby Airfield","Public","1975","Grass"
"Grantham","Lincolnshire","EGYE",,"RAF Barkston Heath","Military","6007","Asphalt"
"Kettering","Northamptonshire",,,"Deenethorpe Aerodrome","Private",,
"Leicester","Leicestershire","EGBG","LRC","Leicester Airport","Public","3084","Asphalt"
"Lincoln","Lincolnshire","EGCS",,"Sturgate Airfield","Public","2690","Paved"
"Lincoln","Lincolnshire","EGNW",,"Wickenby Aerodrome","Public","1739","Concrete"
"Newark-on-Trent","Nottinghamshire","EGXY",,"RAF Syerston","Military","5994","Asphalt"
"Retford","Nottinghamshire","EGNE",,"Gamston Airport","Public","5522","Asphalt"
"Scampton","Lincolnshire","EGXP","SQZ","RAF Scampton","Military","8990","Asphalt"
"Silverstone","Northamptonshire","EGBV",,"Silverstone Heliport","Public","1476","Grass"
"Spalding","Lincolnshire","EGCL",,"Fenland Airfield","Public","1949","Grass"
"Stamford","Lincolnshire","EGXT",,"RAF Wittering","Military","9052","Asphalt"
"Strubby","Lincolnshire","EGCG",,"Strubby Airfield","Public","2461","Paved"
"Sywell","Northamptonshire","EGBK","ORM","Sywell Aerodrome","Private","2982","Grass"
"Tollerton","Nottinghamshire","EGBN","NQT","Nottingham Airport","Private","3445","Asphalt/Concrete"
"Waddington","Lincolnshire","EGXW","WTN","RAF Waddington","Military","9000","Asphalt"
"Worksop","Nottinghamshire","EGNF",,"Netherthorpe Airfield","Public","1814","Grass "
"Aldenham","Hertfordshire","EGTR","","Elstree Airfield","Public","2136","Asphalt"
"Saffron Walden","Essex","EGO2",,"Audley End Airfield","Private","2467","Grass"
"Beccles","Suffolk","EGSM",,"Beccles Airport","Public","2283","Concrete/Grass"
"Bedford","Bedfordshire","EGBF",,"Bedford Aerodrome","Private","3593","Concrete"
"Bedford","Bedfordshire","EGSB","","Castle Mill Airfield","Private","600","Grass"
"Bourn","Cambridgeshire","EGSN",,"Bourn Airfield","Private","2077","Bitumen"
"Braintree","Essex","EGSL",,"Andrewsfield Aerodrome","Private","2592","Grass"
"Bury St Edmunds","Suffolk",,,"Rougham Airfield","Private","3049","Grass"
"Fowlmere","Cambridgeshire","EGMA",,"Fowlmere Airfield","Public","2297","Grass"
"Cambridge","Cambridgeshire","EGSC","CBG","Cambridge International Airport","Public","6446","Concrete"
"Clacton-on-Sea","Essex","EGSQ",,"Clacton Airport","Public","2001","Grass"
"Cranfield","Bedfordshire","EGTC",,"Cranfield Airport","Private","5902","Asphalt"
"Cromer","Norfolk",,,"Northrepps Aerodrome","Private","2018","Grass"
"Duxford","Cambridgeshire","EGSU","QFO","Duxford Aerodrome","Public","4931","Paved"
"Great Yarmouth","Norfolk","EGSD",,"Great Yarmouth - North Denes Airport",,," "
